Medical_ID,Patient_ID,Symptom_ID,Appointment_Date,Doctor_Name,Allergies,Spouse_Name,Spouse_Phone,Work_Phone,Spouse_Occupation,Social_Security_Last_4,Surgery_Status
M22203,P252,S20,2019-02-25,Copeland,0,Nicholas Morris,+1-324-348-3213x23910,0906599852,147,5429,0
M22024,P259,S27,2020-06-20,Howard,0,Daniel Hays,001-301-649-1014x79597,0905561543,197,3600,1
M21857,P237,S3,2019-09-21,Rodriguez,1,Kendra Scott,001-989-598-7883,0902370745,128,8349,0
M22120,P252,S27,2019-01-04,Roth,0,Lori Hudson,+1-049-831-8653x371,0902328146,135,9941,0
M22382,P259,S2,2019-11-10,Romero,0,Benjamin Wilson,417-454-9387,0903560758,174,9898,1
M22033,P217,S6,2019-08-03,Johnson,1,Kenneth Robinson,001-801-437-4475x63165,0906470768,168,1011,0
M22032,P237,S1,2021-06-15,Woodward,1,Nathan Hall,888-955-6607,0906280539,113,8988,0
M21471,P231,S10,2020-03-04,Benitez,1,Jamie Stephens DDS,976.049.3707x8558,0904631074,135,9172,0
M21325,P254,S15,2020-06-10,Solis,1,Ricky Gonzalez,(503)959-0515,0901869821,105,3198,0
M22222,P240,S29,2021-07-02,Shaw,1,Dr. Hannah Nelson,419-994-1354x86469,0907055734,192,5211,1
M22160,P259,S5,2020-02-24,Hays,0,Benjamin Dominguez,512-464-6807,0901725125,198,8517,0
M21849,P227,S32,2021-07-31,Lynch,0,David Foster,009.493.5960,0901572772,146,9320,0
M21411,P230,S5,2019-11-17,Vargas,1,Mrs. Tabitha Adams,146-482-2890x751,0906807196,198,1124,0
M22394,P248,S8,2020-04-16,Lewis,0,Deanna Jackson,460.257.4606x477,0909358556,186,8022,0
M21477,P270,S15,2019-11-30,Carey,1,James Aguilar,+1-206-280-9681x22778,0903839120,177,6464,1
M21573,P258,S18,2020-06-21,Schroeder,0,Kyle Parker,347-355-0107x279,0908545549,140,1144,0
M22092,P241,S26,2021-05-26,Smith,1,Gregory Bailey,743-606-8364,0908902753,107,9332,0
M21525,P249,S16,2020-08-03,Whitaker,1,Michael Harris,1540256692,0907531584,112,9871,0
M22136,P266,S19,2020-07-21,Ortiz,0,Lisa Thomas,+1-823-873-8455x109,0909057213,149,4604,0
M21824,P243,S24,2019-08-11,Sparks,1,Laura Wang,2289095027,0909148064,103,3310,1
M21332,P256,S5,2020-02-19,Daugherty,1,Angela Shields,634-110-8353,0908290639,156,9123,0
M22367,P241,S6,2019-01-13,Thomas,0,Samuel Lee,+1-262-461-7663x941,0906219460,198,2469,1
M22386,P249,S8,2020-04-15,Beck,1,Douglas Norris,+1-179-210-1995,0901495551,103,9621,0
M22125,P251,S4,2020-08-28,Anderson,1,Noah Turner,371-655-4677,0902936999,143,3823,0
M21447,P242,S30,2021-07-03,Perry,0,Mr. Peter Villegas,1119156945,0903671615,150,2939,1
M21869,P246,S23,2019-09-24,Gonzalez,0,Ian Kerr,(094)440-5234x2132,0901567357,147,9602,1
M21907,P238,S2,2021-01-30,Baker,1,Daniel Gonzales,579.350.5516,0908856303,154,9256,0
M21464,P240,S21,2019-06-04,Brennan,1,Linda Guerrero,3739957892,0907184413,114,6618,0
M21270,P236,S30,2020-08-15,Hale,0,Sarah Mills,828-154-4011x54283,0905209308,168,8658,1
M21843,P267,S9,2019-07-24,Cooper,1,Samuel Evans DVM,+1-768-329-5486,0903122223,132,7411,1
M21731,P272,S19,2020-05-05,Watson,1,Michelle Mills,(540)316-8161x91807,0908400878,166,2690,1
M21563,P230,S23,2021-06-30,Wilson,1,Chase Cline,+1-519-007-7093x7380,0906906524,200,6501,1
M21965,P227,S29,2019-03-08,Khan,1,Robert Wilson,+1-732-055-4400x7285,0906178668,197,3034,1
M22302,P260,S12,2021-02-11,Howard,0,Curtis Lopez,019.106.3155,0906302086,154,1768,0
M21596,P214,S21,2019-01-20,Arnold,0,Karen Jordan,001-572-082-0925,0905798215,183,3443,0
M22177,P229,S23,2019-09-14,Cox,0,Michael Bullock,(996)004-9375x497,0905114950,190,5010,1
M22217,P244,S18,2020-12-17,Buchanan,0,Jessica Thomas,6580152226,0902201941,142,4344,0
M22283,P270,S11,2020-10-18,Jones,0,James Davis,8398109961,0906365617,111,6100,0
M21224,P236,S21,2019-03-08,Garcia,0,Nancy Patterson,+1-087-514-0172x493,0909231761,121,7481,1
M21308,P272,S20,2021-04-22,Williams,1,Heather Haynes,+1-788-070-0256x990,0902831733,164,9959,0
M21527,P248,S31,2020-08-28,Aguilar,1,John Mullins,672-444-2942,0904279055,177,4887,0
M22225,P236,S14,2019-03-26,Jones,0,Patrick Thompson,517.090.5564,0901497299,139,3251,1
M22057,P258,S16,2020-08-31,Guzman,0,Samantha Shaw,(260)941-9302x603,0903608341,111,6465,1
M22210,P256,S21,2019-03-26,Leach,0,Paula Smith,(111)372-7330x812,0906014970,131,2909,0
M21520,P269,S15,2020-03-24,Maxwell,0,Lisa Knapp,628-240-2677x18176,0902942007,108,9136,1
M21902,P239,S2,2020-02-20,Olson,1,Dana Ferguson,+1-492-949-8358x13349,0908771862,178,8567,1
M22078,P242,S31,2019-09-24,Bell,1,Michael Willis,(965)802-4028,0905328854,159,2748,0
